x, y
0.2616822429906545, 436.0655737704918
0.42523364485981496, 486.8852459016393
0.6542056074766363, 506.55737704918033
1.1121495327102808, 534.4262295081967
1.4065420560747666, 545.9016393442623
2.1261682242990654, 567.2131147540983
2.5186915887850474, 572.1311475409836
3.2710280373831777, 585.2459016393444
4.056074766355141, 595.0819672131147
4.644859813084115, 600
5.102803738317758, 601.639344262295
5.528037383177571, 601.639344262295
5.953271028037384, 603.2786885245902
6.934579439252339, 603.2786885245902
7.392523364485982, 600
7.915887850467291, 600
8.177570093457945, 581.9672131147541
8.242990654205608, 563.9344262295082
8.30841121495327, 549.1803278688525
