x, y
0.5434782608695891, -2.7233115468408746
1.0869565217391473, 87.14596949891077
1.0869565217391473, 160.67538126361657
3.2608695652174107, 220.58823529411765
3.8043478260869685, 277.7777777777777
5.978260869565232, 340.41394335511984
10.32608695652176, 392.156862745098
16.30434782608696, 460.23965141612206
15.760869565217401, 307.73420479302825
7.608695652173937, 13.616557734204838
20.108695652173928, 503.8126361655773
23.9130434782609, 563.7254901960783
27.717391304347835, 601.8518518518518
32.065217391304365, 639.9782135076254
40.760869565217384, 708.0610021786492
42.39130434782612, 629.0849673202614
45.6521739130435, 702.6143790849674
51.08695652173915, 759.8039215686275
62.499999999999986, 806.1002178649238
71.73913043478264, 833.3333333333334
89.6739130434783, 887.7995642701526
88.58695652173913, 827.8867102396516
95.1086956521739, 890.5228758169935
106.52173913043478, 912.3093681917212
118.47826086956525, 934.0958605664488
127.17391304347827, 947.7124183006538
127.17391304347827, 827.8867102396516
130.43478260869568, 887.7995642701526
135.3260869565217, 939.5424836601309
142.39130434782615, 972.2222222222223
151.6304347826087, 980.3921568627452
164.13043478260872, 980.3921568627452
173.91304347826087, 977.6688453159042
183.1521739130435, 964.0522875816994
192.39130434782612, 950.4357298474947
202.17391304347828, 917.7559912854031
